lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,1,1,straight,stop,same_direction,0,1,0,0,0,1,1,6.800191,2.291196,48.74682,easy,warning
1,1,0,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,18.492,5.755971,42.323,hard,warning
1,1,1,turn left,turn left,from_right,0,1,0,0,1,1,1,40.94417,1.5974,8.737995,hard,danger
1,1,1,turn left,turn left,same_direction,0,0,1,0,0,1,1,0.0001678917,4.793835,13.51379,hard,warning
2,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,34.8768,3.493667,17.61955,normal,warning
1,1,1,straight,straight,from_right,0,1,1,0,0,1,1,20.5357,6.135647,38.94119,normal,warning
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,27.26408,6.197747,18.30155,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00012,4.585746,1.385442,hard,warning
1,1,1,straight,stop,from_right,0,1,1,0,0,1,1,2.629893,6.725158,13.61779,normal,warning
2,1,0,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,50.01472,0.4768142,9.03686,normal,danger
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,8.399938e-05,5.588759,5.867684,hard,warning
1,1,1,straight,straight,from_right,1,1,1,0,0,1,1,10.62016,4.846635,8.809587,normal,warning
2,0,1,reverse,straight,opposite_direction,0,0,0,0,0,0,0,20.0113,1.353993,19.62477,normal,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,70.00007,1.64755,13.53329,normal,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00123,1.093189,20.39791,easy,danger
1,0,0,straight,turn left,same_direction,1,0,0,0,0,0,1,30.00003,7.208991,14.42774,normal,warning
2,0,1,reverse,straight,same_direction,0,0,0,0,0,0,0,22.9809,9.386915,15.49754,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,1,0,1,10.03665,4.091342,17.37392,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00016,0.6179116,14.48738,easy,danger
1,1,1,turn_right,straight,from_right,0,1,0,0,0,1,1,14.21124,1.32243,20.33642,normal,danger
2,1,1,straight,straight,opposite_direction,0,0,1,0,1,1,0,17.71961,5.66853,12.36954,normal,warning
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,45.80561,5.765572,36.96834,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,25.00014,6.460978,8.241125,hard,warning
2,0,1,straight,straight,opposite_direction,1,0,1,0,0,0,1,50.00001,2.61204,23.2595,easy,warning
1,0,1,reverse,straight,same_direction,1,0,0,0,0,0,1,50.00001,3.143896,5.206435,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,5.220256,5.070563,24.16677,hard,warning
1,1,0,turn_right,stop,opposite_direction,0,0,1,0,1,1,1,0.000187968,0.0,13.12836,hard,collision
4,1,0,turn left,turn left,from_left,0,0,1,0,1,0,1,30.00001,2.847159,7.536542,hard,warning
2,1,1,stop,turn left,from_left,0,0,0,0,0,0,0,5.67491e-05,5.306969,11.02115,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00068,0.01157141,50.79708,hard,danger
1,0,1,turn_right,straight,opposite_direction,0,0,1,0,1,0,1,50.01419,0.979903,26.17937,easy,danger
1,1,1,straight,stop,from_left,0,1,1,0,0,1,1,3.683314,9.40655,13.61779,normal,warning
4,1,0,stop,turn left,same_direction,0,0,0,0,1,0,1,30.00001,4.468542,5.96234,hard,warning
2,1,1,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,0.003736447,6.358158,11.40858,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,39.42333,3.582602,41.27534,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,47.00064,5.478115,31.2612,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00005,5.845178,31.93546,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,0.0001665533,5.481565,26.38467,hard,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,30.00047,1.878603,14.63618,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.55106,4.999145,33.36975,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,19.28871,4.864217,13.45216,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.70046,0.08479774,36.22993,hard,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,20.00005,1.98013,24.86178,hard,danger
1,1,1,stop,straight,from_left,1,0,1,0,0,0,1,4.549891,7.084017,4.476313,hard,warning
