real_risk,lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level
1,1,0,1,2,2,3,0,0,0,0,0,0,50.0008,14.3264,2
2,1,1,1,3,2,3,0,0,0,0,1,1,20.0004,7.76644,1
1,2,0,1,2,2,3,0,0,0,0,0,0,60.0057,34.7161,1
1,4,1,0,4,3,2,0,0,1,0,0,0,30.0017,20.9006,1
1,2,1,1,3,2,3,0,0,0,0,0,1,50.0017,16.1321,1
2,1,1,1,2,1,1,0,0,0,0,0,0,0.000159915,19.477,1
2,2,1,1,4,4,3,0,0,0,1,1,1,19.6111,10.5211,2
1,1,0,1,2,1,3,0,0,0,0,0,0,0.000176136,24.4555,1
2,3,0,1,2,2,3,0,0,0,0,0,0,41.1645,6.60289,1
2,1,0,1,2,1,2,0,0,0,0,0,0,0.00143859,26.4071,1
2,1,1,1,0,1,1,0,1,1,0,0,1,6.69303,7.12232,2
2,3,1,1,4,4,3,0,0,0,0,0,0,22.1945,13.048,1
2,2,1,1,2,2,3,0,0,0,0,0,0,21.6922,16.126,1
2,1,0,0,2,2,2,0,0,1,0,0,0,34.0002,8.16641,0
2,2,0,1,2,2,3,0,0,0,0,0,0,33.1321,13.7241,1
2,1,0,1,2,2,2,1,0,0,0,0,0,9.02818,12.9807,2
2,1,0,1,2,2,3,0,0,0,0,0,0,20.0001,25.3425,0
1,2,0,1,2,2,3,0,0,0,0,0,0,22.0011,32.8755,1
2,3,0,1,2,2,3,0,0,0,0,0,0,68.3085,6.60289,1
1,1,0,1,1,1,0,0,0,0,0,1,0,0.000476425,5.23322,1
2,1,1,1,1,4,3,0,0,0,0,0,0,11.3681,0.000229624,1
2,1,0,1,2,2,2,0,0,0,0,0,0,8.6896,22.7109,1
2,2,1,1,2,2,3,0,0,0,0,1,1,50.0019,40.456,2
1,1,0,1,2,1,3,0,0,0,0,0,0,9.56169e-05,10.0046,2
2,2,0,1,2,2,2,0,0,0,0,0,0,34.8768,17.6196,2
2,1,1,1,2,1,0,0,1,1,0,0,1,4.38753,15.2791,2
2,1,1,1,2,1,0,0,1,1,0,0,1,3.68331,13.6178,2
2,1,1,1,1,1,0,1,0,1,0,0,0,50.0144,6.51851,1
2,2,1,1,2,4,2,0,1,0,0,1,1,27.7667,9.53553,2
1,2,0,1,2,1,3,0,0,0,0,0,0,9.78119e-05,18.5742,2
0,1,1,1,4,1,2,0,1,0,0,0,1,7.85296,55.596,0
2,2,1,1,3,2,2,0,0,1,0,1,0,22,8.88149,2
2,1,0,1,3,3,3,0,0,1,0,0,0,15.0552,9.92616,2
1,1,0,1,2,2,3,0,0,0,0,0,0,20.0002,13.2647,2
1,2,0,1,0,2,2,0,0,0,0,1,0,22.0014,7.04187,0
2,1,0,1,2,2,3,0,1,1,0,0,1,14.94,12.3098,2
2,1,0,1,2,2,3,0,0,1,0,0,0,20.0001,13.4252,2
2,1,1,1,4,1,1,1,1,0,0,0,0,4.68016,20.2815,2
1,2,0,1,2,2,3,0,0,0,0,0,0,50.0019,10.8843,1
2,2,0,1,2,1,3,0,0,0,0,0,0,0.00201868,11.2379,2
2,1,1,1,0,1,1,0,1,1,0,0,1,7.91507,6.81531,2
0,1,1,1,1,4,3,0,0,0,0,0,0,17.5691,7.72769,1
2,1,0,1,2,2,3,0,0,0,0,0,0,40.067,24.7789,1
2,3,0,1,2,2,3,0,0,0,0,0,0,42.1015,15.3724,1
2,1,0,1,2,2,3,1,0,0,0,0,0,56.9178,13.6069,2
2,1,1,1,1,3,0,0,0,1,0,1,0,10.4223,8.53432,1
2,1,0,1,2,1,3,0,0,0,0,0,0,50.0001,16.4173,1
2,1,0,1,2,2,2,0,0,1,0,0,0,19.9995,43.8139,0
0,2,1,1,2,4,3,0,0,0,1,1,1,26.6072,16.1679,2
2,2,1,1,1,2,0,0,0,0,0,0,0,28.4906,0.0153437,2
2,3,1,1,3,2,3,0,0,0,0,1,0,34.3481,8.8163,1
2,2,0,1,2,2,2,1,0,1,0,0,0,50,23.2595,0
2,4,1,0,4,3,2,0,0,1,0,0,0,20.5048,22.7977,1
2,2,1,0,3,3,0,0,0,1,1,1,1,20,12.1445,1
2,1,0,1,2,2,3,0,0,0,0,0,0,50.0004,33.5853,2
1,2,1,1,3,2,3,0,0,0,0,1,1,43.1819,16.2142,2
2,4,1,0,4,3,2,0,0,1,0,0,0,30.0004,13.782,1
2,1,0,1,4,1,3,0,0,0,0,0,0,10.0802,10.3671,2
0,1,1,1,4,1,2,1,0,1,0,0,1,22.6293,15.5157,2
2,2,0,1,2,2,3,0,0,0,0,0,0,51.5923,18.0056,2
2,4,1,0,4,3,3,0,0,0,0,0,0,19.5254,18.918,1
2,4,1,0,3,3,3,0,0,0,0,0,0,30.013,21.7484,1
1,1,1,1,2,2,1,1,1,1,0,0,1,9.56413,11.7272,2
2,2,0,1,2,2,2,0,0,0,0,0,0,20.0003,15.1197,1
2,1,1,1,1,1,3,0,0,0,0,0,0,26.7044,8.68391,1
2,1,0,1,2,2,2,0,0,0,0,0,0,47.0002,25.7372,1
0,1,1,0,4,1,2,0,0,1,0,1,1,0.000187968,13.1284,1
1,1,1,1,1,1,3,0,0,0,0,0,0,50,0.068576,1
2,2,1,1,3,2,2,0,0,1,0,1,0,22,8.88149,2
2,2,1,0,3,3,1,1,0,0,0,0,0,30,3.46963,1
2,2,0,1,1,2,2,0,0,0,0,1,0,13.3364,5.058,2
2,2,0,1,0,2,3,1,0,0,0,0,0,20.011,8.1407,0
2,1,1,1,2,1,0,0,0,1,0,0,0,10.4361,13.4685,2
2,2,1,1,3,2,2,0,0,0,0,0,0,50.0006,16.0923,1
1,2,1,1,3,2,3,0,0,0,0,0,1,43.4698,12.7283,1
1,1,0,1,2,2,3,0,0,0,0,0,0,50.0015,43.1677,2
2,4,1,0,3,3,3,0,0,0,0,0,0,30.0001,14.4262,1
2,2,1,1,4,2,0,0,0,0,0,0,1,50.0144,12.4091,1
1,1,0,1,3,3,0,0,0,0,0,0,1,33.7319,0.00412275,0
1,3,0,1,2,2,3,0,0,0,0,0,0,20.0034,41.7054,1
2,1,1,1,2,2,2,0,0,0,0,0,0,50.0036,17.9161,0
2,1,0,0,2,3,3,1,0,0,0,0,0,30,14.4277,2
1,1,0,1,2,2,3,0,0,0,0,0,0,50.0003,13.1101,1
1,2,1,1,3,2,0,0,0,0,0,0,1,50.0003,24.1599,0
2,2,0,1,2,2,3,0,0,0,0,0,0,20.0003,45.4208,1
1,1,0,1,2,2,2,0,0,0,0,0,0,50,18.6379,2
2,1,0,1,2,2,2,0,0,0,0,0,0,2.52,17.3998,2
2,1,0,1,2,2,2,0,0,0,0,0,0,25,51.3201,1
1,1,0,1,2,2,3,0,0,0,0,0,0,20.001,34.6875,1
2,4,1,0,3,3,2,0,0,1,1,1,0,20.0004,13.7504,1
1,1,1,0,4,1,2,0,0,1,0,1,1,0.000118745,10.9043,1
2,2,0,1,2,2,2,0,0,0,0,0,0,50.0144,12.9255,2
0,2,1,1,4,4,3,0,0,0,0,1,0,50,6.23419,2
2,4,1,0,3,3,3,0,0,0,0,0,0,30.0004,17.7734,1
2,1,0,1,2,2,3,0,0,0,0,0,0,15.1222,18.6952,1
1,1,1,1,3,2,2,0,1,1,0,0,1,0.000154079,14.9178,1
2,1,0,1,2,2,3,0,0,0,0,0,0,49.998,6.82879,0
2,1,0,1,2,2,2,0,0,0,0,0,0,28,50.3551,0
2,1,0,1,0,2,3,0,0,0,0,0,0,50.0005,5.6176,2
1,3,1,1,1,4,3,0,0,0,0,0,0,10.0395,1.99366,0
2,1,0,1,2,2,2,0,0,0,0,0,0,22,50.0361,1
2,4,1,0,3,3,1,0,0,0,0,1,0,25.0002,6.0223,1
1,1,0,1,2,2,2,0,0,0,0,0,0,19.9667,12.8893,0
1,1,0,1,2,2,2,0,0,1,0,0,0,23.0002,11.7422,1
2,2,0,1,2,2,2,0,0,1,0,0,0,50.0066,34.9438,1
2,2,0,1,2,2,2,0,0,1,0,0,0,32.1318,37.8412,1
1,1,0,0,2,1,2,0,0,1,0,0,0,0.000153116,28.2056,1
2,3,1,1,2,2,0,0,0,0,0,0,1,52,51.0481,2
1,2,0,1,2,1,3,0,0,0,0,0,0,0.000142301,13.5118,0
2,1,0,0,2,1,3,0,1,0,0,0,0,0.000182454,29.7802,2
2,2,0,1,2,2,3,0,0,0,0,0,0,9.26188e-05,12.3617,1
2,1,0,1,2,2,3,1,0,0,0,1,0,11.9301,4.134,1
2,2,0,1,2,2,3,0,0,0,0,0,0,45,23.2473,1
2,1,0,1,2,2,2,0,0,0,0,0,0,20.0003,18.5316,1
2,1,1,1,2,1,2,0,1,1,0,0,1,5.43982,17.2388,2
2,2,0,1,2,2,3,0,0,0,0,0,0,20.0072,14.885,1
2,2,0,1,2,2,2,0,0,1,0,0,0,54.3062,17.4283,1
2,1,1,1,2,1,0,1,0,1,0,0,1,49.5549,1.89726,1
2,1,1,1,2,2,2,0,1,1,0,0,1,20,16.6268,2
2,1,0,1,2,2,3,0,0,1,0,0,0,20.0001,5.71069,2
1,2,0,1,2,2,3,0,0,0,0,0,0,25.0042,7.58551,1
2,2,0,1,2,1,3,0,0,0,0,0,0,0.000150278,6.39089,2
1,2,1,0,3,2,2,0,0,1,1,0,0,30.0002,17.9552,0
1,3,1,1,4,2,3,0,0,0,0,0,1,57.3819,25.3682,1
