lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
1,yes,yes,reverse,turn_right,from_right,no,yes,yes,no,no,yes,7.97045,6.81531,normal,collision
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,26.0461,21.4998,hard,warning
1,yes,yes,straight,stop,opposite_direction,no,yes,no,no,no,yes,0.000128114,21.6621,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,62.3086,25.9355,hard,warning
1,no,yes,turn_right,turn_right,opposite_direction,yes,no,yes,no,no,no,32.2386,11.2421,normal,warning
3,yes,no,turn_right,turn_right,same_direction,yes,no,no,yes,yes,yes,14.9964,11.2011,normal,warning
1,yes,yes,straight,stop,from_left,no,yes,yes,no,no,yes,0.000155257,13.6178,normal,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,20.0005,28.3157,normal,danger
1,yes,yes,reverse,straight,from_left,no,no,no,no,yes,no,20.0,6.46858,hard,warning
1,yes,yes,turn left,straight,opposite_direction,no,no,no,no,no,no,13.6636,17.8147,hard,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,30.0,29.5884,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0,14.5254,hard,warning
1,no,yes,straight,straight,same_direction,yes,no,no,no,no,no,17.4544,4.08838,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,7.31994,34.0222,hard,warning
2,no,yes,stop,straight,same_direction,no,no,no,no,yes,no,20.0044,3.77304,normal,danger
2,yes,no,turn left,straight,opposite_direction,no,no,yes,yes,no,yes,0.00591866,16.4101,easy,warning
1,yes,no,turn_right,stop,same_direction,no,no,no,no,no,yes,8.26831e-06,32.3527,normal,warning
1,no,yes,straight,stop,same_direction,no,no,yes,no,no,no,0.000135823,10.7153,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,25.0033,8.13268,hard,danger
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,23.223,14.7965,hard,warning
1,yes,yes,stop,turn_right,from_left,no,no,yes,no,no,no,40.8326,6.01926,hard,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,27.1259,9.83428,hard,warning
2,no,yes,straight,straight,opposite_direction,yes,no,yes,no,no,no,20.0006,21.6741,easy,warning
1,yes,yes,straight,turn_right,from_left,no,no,yes,no,no,yes,15.0312,0.736754,hard,warning
1,yes,yes,straight,stop,from_right,no,yes,yes,no,no,yes,7.53552,26.4893,normal,collision
1,yes,yes,straight,stop,opposite_direction,no,yes,no,no,no,yes,5.05924e-05,44.6978,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,yes,40.9516,18.9304,normal,collision
1,no,yes,reverse,straight,same_direction,yes,no,no,no,no,no,50.0,5.20643,hard,warning
1,yes,yes,straight,straight,from_right,no,yes,yes,no,no,yes,20.5357,38.9412,normal,warning
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,0.200118,24.8599,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,yes,no,50.0,29.4937,easy,warning
2,yes,yes,stop,straight,from_left,no,no,no,no,no,no,13.459,5.67001,normal,warning
2,yes,no,turn_right,turn_right,same_direction,no,no,no,no,no,yes,50.0129,6.93059,normal,warning
1,no,yes,straight,stop,opposite_direction,no,no,yes,no,no,no,20.0,23.8195,hard,danger
1,yes,yes,turn_right,stop,from_right,yes,yes,no,no,no,no,17.1002,20.1552,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,yes,no,20.0,15.8763,normal,warning
4,yes,no,straight,turn left,from_right,yes,no,no,no,yes,no,30.0005,7.2893,hard,warning
3,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,73.0027,45.5633,easy,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0,43.2014,hard,warning
4,yes,no,stop,turn left,same_direction,no,no,no,no,yes,no,47.4546,4.08303,hard,danger
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0005,2.54264,hard,warning
1,yes,yes,straight,straight,opposite_direction,no,no,no,no,no,yes,2.97665e-05,14.1824,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,19.2887,13.4522,normal,warning
2,yes,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0082,11.6212,hard,warning
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,39.0294,14.0038,hard,collision
1,no,yes,turn_right,straight,from_right,no,no,no,no,yes,yes,11.9785,16.5765,normal,warning
1,no,no,straight,straight,opposite_direction,no,no,yes,no,no,no,50.0,25.9932,hard,warning
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,50.006,11.0505,normal,warning
1,no,yes,stop,stop,from_right,no,no,no,no,yes,no,25.5886,5.23322,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,yes,20.0,54.0937,easy,warning
1,no,no,straight,stop,same_direction,no,no,no,no,no,no,15.4311,10.3718,normal,warning
3,yes,yes,straight,straight,same_direction,no,no,no,no,yes,no,77.7085,24.0203,normal,danger
4,yes,no,stop,turn left,from_left,yes,no,no,no,no,no,30.0,4.66096,hard,warning
1,yes,yes,straight,turn_right,from_left,no,no,yes,no,no,no,14.829,2.12682,hard,danger
1,yes,yes,turn left,straight,same_direction,no,no,no,no,no,yes,24.0003,58.7241,hard,warning
1,yes,yes,straight,straight,from_left,no,no,yes,no,no,yes,31.0,15.3071,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0,23.9245,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,58.3441,10.9536,hard,warning
1,yes,yes,straight,straight,from_left,no,no,no,no,no,yes,7.77208,7.72769,hard,warning
1,yes,yes,reverse,stop,from_right,no,yes,yes,no,no,yes,4.12815,7.12232,normal,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0002,14.4874,easy,danger
2,no,yes,turn left,straight,opposite_direction,no,no,yes,no,yes,no,17.572,18.546,hard,warning
1,yes,yes,stop,straight,same_direction,no,no,yes,no,no,no,0.000121636,5.41513,hard,warning
2,yes,yes,turn_right,straight,same_direction,no,no,no,no,no,yes,37.6766,33.707,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.1187,15.5664,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0004,22.3267,hard,warning
2,no,yes,stop,straight,same_direction,no,no,no,no,yes,no,31.6168,4.61302,normal,danger
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,21.546,7.72769,hard,collision
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,22.5665,12.8127,normal,warning
1,yes,no,turn_right,turn_right,same_direction,no,no,no,no,no,yes,18.2156,42.323,hard,collision
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,21.0002,8.72478,normal,warning
1,no,yes,stop,turn left,opposite_direction,no,no,yes,no,yes,no,30.0,5.76294,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0017,17.7632,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,42.8283,25.0255,hard,warning
3,no,yes,straight,straight,same_direction,no,no,no,no,yes,no,77.0004,18.5334,hard,warning
1,yes,no,turn_right,turn_right,same_direction,no,no,no,no,no,yes,18.492,42.323,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0,13.382,normal,warning
1,no,yes,turn left,turn left,same_direction,no,no,yes,no,no,no,5.60972,15.7718,normal,warning
2,yes,yes,straight,straight,same_direction,no,no,no,no,no,yes,26.4793,18.3602,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0015,25.3318,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0008,14.3264,normal,danger
1,yes,yes,turn left,straight,same_direction,no,no,no,no,yes,yes,20.0004,7.76644,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,60.0057,34.7161,hard,danger
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,30.0017,20.9006,hard,danger
2,yes,yes,turn left,straight,same_direction,no,no,no,no,no,yes,50.0017,16.1321,hard,danger
1,yes,yes,straight,stop,from_right,no,no,no,no,no,no,0.000159915,19.477,hard,warning
2,yes,yes,turn_right,turn_right,same_direction,no,no,no,yes,yes,yes,19.6111,10.5211,normal,warning
