lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,bike_side_on_collision,vehicle_side_on_collision,in_collision_fault_of,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max,level,real_risk
1,no,yes,straight,stop,from_right,yes,no,no,no,yes,no,yes,left,back,bike,0.0009049344925548,7.554055e-05,0.1510404,2.78758524837524,0.0,6.602963,5.33381259740519,0.2216901,9.826713,hard,collision
1,no,yes,reverse,stop,from_right,yes,no,no,no,yes,no,yes,front,front,bike,5.13917900411192,0.0001741555,27.83237,3.19313322935779,0.0,6.810194,4.64099182883027,0.02228259,7.044104,hard,collision
1,yes,yes,turn left,turn left,from_right,no,yes,no,no,yes,yes,yes,front,left,bike,40.4656081481481,37.09166,43.10576,3.76015603518518,0.0,9.090576,10.9696317962962,7.376856,11.91616,hard,collision
1,no,yes,straight,stop,from_left,yes,no,yes,no,no,no,yes,front,right,bike,2.11111099456592,0.0001548287,6.551659,2.19333458503184,0.0,7.121329,4.20811235296178,0.054857,11.99656,hard,collision
3,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,no,yes,yes,front,right,bike,5.02326497086614,6.119267e-05,15.44827,3.42276406218905,0.0,7.019561,11.5229329848258,0.1103294,64.30499,hard,collision
3,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,no,yes,yes,front,right,bike,15.269782368421,11.58472,19.18594,2.17442479842105,0.0,7.018106,13.3217031742105,0.1103294,62.93941,hard,collision
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,no,left,right,bike,4.124073930269,7.377384e-05,17.56909,2.06308011816367,0.0,5.101277,3.28964223070784,2.36765e-05,7.72769,hard,collision
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,no,front,right,bike,5.74498116886509,5.503592e-05,21.54603,4.52405933571428,0.0,7.853682,2.86362701567769,2.36765e-05,7.72769,hard,collision
1,yes,no,turn_right,stop,opposite_direction,no,no,yes,no,yes,yes,yes,front,left,bike,0.000160813939834,0.0001389282,0.000187968,2.388842199,0.0,7.090389,9.74628760165975,5.506879,13.12836,hard,collision
1,yes,yes,turn left,stop,same_direction,no,no,no,no,no,yes,yes,left,right,bike,7.28722329749401,0.000110286,26.36694,6.73334218570858,0.0,8.844865,3.04693376324065,7.970529e-05,10.17863,easy,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,left,right,car,49.8024779347826,49.43998,50.00036,3.75718321,0.0,9.518417,11.9601734782608,11.61994,12.24833,hard,collision
2,yes,no,reverse,turn left,from_right,yes,no,no,no,no,no,yes,right,front,bike,24.6319478102189,16.66022,30.00004,3.57326575547445,0.0,9.467976,1.82675977167883,0.07809814,4.093901,hard,collision
2,yes,yes,straight,straight,same_direction,no,no,no,no,no,no,no,back,front,car,12.9933393982169,0.001058746,35.01369,5.49936806349206,0.0,9.519506,13.0982434920634,11.47159,14.87224,hard,collision
4,yes,no,turn_right,turn_right,same_direction,no,no,no,yes,no,yes,yes,left,right,bike,16.0524009943857,0.007979942,30.00043,2.85702989164619,0.0,7.087506,11.2065046633906,9.073223,14.6982,hard,collision
1,yes,yes,turn_right,stop,opposite_direction,no,yes,no,no,no,yes,yes,front,left,bike,0.140798184773209,6.745648e-06,7.852956,2.84344530186836,0.0,8.746651,19.4639060451977,13.23739,55.59595,easy,collision
1,yes,yes,turn_right,stop,opposite_direction,no,yes,no,no,no,yes,yes,front,left,bike,6.88978433905579e-05,6.290585e-05,8.737221e-05,3.36707548988669,0.0,9.432381,15.1410374248927,13.23739,53.82674,easy,collision
2,yes,no,turn left,straight,same_direction,no,no,no,yes,yes,yes,yes,left,right,bike,68.6684204395604,55.69112,70.00731,4.02037451978022,0.0,9.397228,33.5709936263736,32.4092,34.81649,easy,collision
