lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,1,1,2,1,0,0,1,1,0,0,1,1,3.683314,9.40655,13.61779,2,2
4,1,0,1,3,3,0,0,0,0,1,0,1,30.00001,4.468542,5.96234,1,2
2,1,1,4,4,3,0,0,0,0,0,1,1,0.003736447,6.358158,11.40858,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,39.42333,3.582602,41.27534,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,47.00064,5.478115,31.2612,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00005,5.845178,31.93546,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,0.0001665533,5.481565,26.38467,1,2
4,1,0,4,3,2,0,0,1,0,0,0,1,30.00047,1.878603,14.63618,1,1
2,0,1,2,2,3,0,0,0,0,0,0,0,24.55106,4.999145,33.36975,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,19.28871,4.864217,13.45216,2,2
2,0,1,2,2,3,0,0,0,0,0,0,0,24.70046,0.08479774,36.22993,1,1
4,1,0,4,3,2,0,0,1,0,0,0,1,20.00005,1.98013,24.86178,1,1
1,1,1,1,2,0,1,0,1,0,0,0,1,4.549891,7.084017,4.476313,1,2
1,1,1,2,1,1,1,1,0,0,0,1,1,9.176223e-05,4.697104,16.42294,0,2
4,1,0,4,4,3,0,0,0,1,0,1,1,29.80647,4.980968,14.48688,1,2
1,0,1,3,3,3,0,0,0,0,1,1,1,30.00002,3.973062,9.277122,2,2
2,0,1,2,2,3,0,0,0,0,0,0,0,50.0,2.332806,16.4535,1,2
1,1,1,3,2,2,1,0,0,0,1,1,1,9.937691,4.230568,32.06857,1,2
3,1,1,2,2,0,0,0,0,0,0,1,1,71.62164,0.0,7.838154,2,0
2,1,1,2,2,3,0,1,0,0,1,1,1,50.01273,0.9864197,27.66542,2,1
1,0,1,2,2,2,0,0,0,0,0,0,0,23.51703,5.974529,15.79856,0,2
2,0,1,2,2,3,0,0,0,0,0,0,0,50.00098,3.121648,14.18197,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,20.0,2.953521,49.82216,0,2
2,1,1,1,4,0,0,0,0,0,0,0,0,10.45518,5.799206,5.522056,1,2
2,0,1,2,1,3,0,0,0,0,0,0,0,9.781191e-05,1.177572,18.57423,2,1
1,1,1,2,1,1,1,0,0,0,0,0,1,25.00052,7.820848,18.30293,0,2
1,0,1,0,2,2,0,0,1,0,0,0,1,11.18618,6.046396,5.279787,2,2
1,0,1,2,2,2,0,0,1,0,0,0,1,20.00044,1.555684,41.17137,0,1
2,1,1,1,4,3,0,0,0,0,1,1,1,1.489446,9.549108,0.5961105,2,2
1,0,1,2,2,3,0,0,0,0,0,0,0,0.0001885569,0.8384571,27.74249,1,1
4,1,0,4,3,2,1,0,1,0,0,0,1,30.00014,6.28128,9.766886,1,2
1,0,1,2,2,3,0,0,0,0,0,0,0,50.00014,5.151115,10.44311,2,2
1,0,1,2,2,2,0,0,1,0,0,0,1,20.00006,1.439243,30.50138,2,1
1,1,1,1,1,3,0,0,0,0,0,0,0,0.000173406,2.592741,0.02349037,1,2
1,0,1,2,1,3,0,0,0,0,0,0,0,9.085211e-05,1.375929,24.85993,1,1
2,0,1,2,2,3,0,0,0,0,0,0,0,21.99968,6.914297,32.91121,1,2
1,1,1,2,1,2,0,1,0,0,0,0,1,15.15907,5.256325,19.10431,0,2
1,1,1,3,1,2,0,0,1,0,0,1,1,10.98013,7.216192,25.74048,1,2
2,0,1,2,2,2,0,0,1,0,0,0,1,20.00001,5.500943,10.37874,1,2
1,1,1,2,4,0,0,0,0,0,0,0,0,21.77612,5.468195,2.237625,2,2
3,1,1,2,2,0,0,0,1,0,0,1,1,33.29747,6.790858,7.813245,1,2
2,0,1,2,2,2,1,0,1,0,0,0,1,61.59906,6.149184,0.1183424,1,2
2,1,0,3,1,2,0,0,1,1,0,1,1,0.08089197,5.610909,17.20617,0,2
1,0,1,2,2,2,1,0,0,0,0,0,1,20.00004,6.586244,9.990593,0,1
1,1,1,2,4,0,0,0,1,0,0,1,1,17.47173,0.8901563,6.021852,1,1
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00006,4.209913,29.97102,1,2
1,1,1,3,2,3,0,0,0,0,0,0,0,50.0,6.831115,7.825071,2,2
1,1,1,2,2,2,0,0,0,0,0,0,0,50.00065,5.880393,11.70286,0,2
1,0,0,2,2,2,0,0,1,0,0,0,1,50.00001,3.134932,25.99319,1,2
3,0,1,2,2,3,0,0,0,0,0,0,0,59.00022,1.758258,9.872237,1,1
1,1,1,2,2,2,0,0,0,0,0,0,0,34.57545,4.256667,12.2696,2,2
1,1,1,3,2,2,0,0,0,0,0,0,0,13.66357,4.911067,17.81473,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,19.99991,5.578303,23.72878,0,2
2,1,0,3,3,0,0,0,1,1,1,1,1,20.00001,2.172163,12.14454,1,2
1,0,1,2,2,2,0,0,1,0,0,0,1,30.99992,5.386122,28.66573,0,2
1,0,1,2,2,2,1,0,0,0,0,0,1,20.00001,6.868524,8.193161,0,2
2,0,1,2,2,3,0,0,0,0,0,0,0,24.99912,5.419935,8.283839,1,2
1,1,1,2,2,2,0,1,0,0,0,0,1,50.00068,3.437491,14.11643,0,2
